threshold,total_cost,cost_per_loan,approved,declined,tp,fp,tn,fn,precision,recall,f1
0.13515860866121837,21638208.584314838,921.7946913314662,13787,9687,1968,7719,12609,1178,0.20315887271601116,0.6255562619198983,0.3067092651757189
0.13626106448916886,21591629.09057355,919.8103898173958,13905,9569,1946,7623,12705,1200,0.2033650329188003,0.6185632549268912,0.30609516319307906
0.13726240526530226,21513256.250004873,916.4716814349865,14023,9451,1928,7523,12805,1218,0.20399957676436356,0.6128417037507946,0.30610462808605227
0.13847673596377527,21403090.06260881,911.7785661842382,14141,9333,1914,7419,12909,1232,0.20507875281260046,0.6083916083916084,0.30675534898629697
0.13959775115469425,21316768.88533328,908.101256084744,14259,9215,1897,7318,13010,1249,0.20586001085187194,0.6029879211697393,0.3069330960278294
0.1406005990013263,21222499.37135091,904.0853442681653,14377,9097,1881,7216,13112,1265,0.2067714631197098,0.5979020979020979,0.30727762803234504
0.14160690356372976,21130106.49212525,900.1493776998062,14494,8980,1865,7115,13213,1281,0.2076837416481069,0.5928162746344564,0.30760349661883557
0.1427393768026576,21011991.96802233,895.1176607319729,14612,8862,1852,7010,13318,1294,0.20898217106747913,0.5886840432294977,0.30846102598267827
0.143888659708963,20909774.117333114,890.7631471983094,14730,8744,1837,6907,13421,1309,0.2100869167429094,0.583916083916084,0.30899915895710683
0.14505629093717265,20807556.266643897,886.4086336646459,14848,8626,1822,6804,13524,1324,0.21122188731741248,0.5791481246026701,0.30954808019028207
0.14612138549171702,20768925.109609455,884.7629338676602,14966,8508,1799,6709,13619,1347,0.2114480488951575,0.5718372536554355,0.30873519821520506
0.1472092675267087,20682603.93233393,881.0856237681661,15084,8390,1782,6608,13720,1364,0.21239570917759237,0.5664335664335665,0.3089459084604716
0.14836491815281158,20622004.39993566,878.504064068146,15201,8273,1762,6511,13817,1384,0.2129819896047383,0.5600762873490146,0.30860845958490235
0.14959084747087617,20519786.549246438,874.1495505344823,15319,8155,1747,6408,13920,1399,0.21422440220723482,0.5553083280356008,0.30917617909919476
0.15088544121745315,20425517.035264067,870.1336387179035,15437,8037,1731,6306,14022,1415,0.21537887271369915,0.5502225047679593,0.3095770365733703
0.15198681735405295,20402782.551643323,869.1651423550875,15555,7919,1706,6213,14115,1440,0.2154312413183483,0.5422759059122696,0.308359692724808
0.153284544945774,20276719.69083356,863.7948236701696,15673,7801,1694,6107,14221,1452,0.21715164722471478,0.5384615384615384,0.3094911847994884
0.15463571397713366,20174501.84014434,859.4403101365059,15791,7683,1679,6004,14324,1467,0.21853442665625405,0.5336935791481247,0.31009326807646137
0.15591963448322618,20090057.297625527,855.8429452852316,15908,7566,1662,5904,14424,1484,0.2196669310071372,0.5282898919262555,0.3103061986557132
0.15721405972592237,19987839.44693631,851.4884317515681,16026,7448,1647,5801,14527,1499,0.22113319011815252,0.5235219326128417,0.31093071549933926
0.15842604729828888,19917414.94307448,848.4883250862434,16144,7330,1628,5702,14626,1518,0.22210095497953616,0.5174825174825175,0.3108056510118366
0.15970651337288022,19823145.429092105,844.4724132696646,16262,7212,1612,5600,14728,1534,0.223516361619523,0.512396694214876,0.31125699942073753
0.16100918349012558,19728875.91510973,840.4565014530856,16380,7094,1596,5498,14830,1550,0.22497885537073584,0.5073108709472346,0.31171875
0.16220884280644107,19634606.40112736,836.4405896365068,16498,6976,1580,5396,14932,1566,0.22649082568807338,0.5022250476795931,0.312191266548113
0.16339313934558258,19542213.5219017,832.5046230681478,16615,6859,1564,5295,15033,1582,0.22802157748942994,0.4971392244119517,0.31264367816091954
0.16467048851255325,19479737.354746718,829.8431181199079,16733,6741,1544,5197,15131,1602,0.22904613558819167,0.4907819453273999,0.3123293213310408
0.16595204039847586,19393416.17747119,826.1658080204137,16851,6623,1527,5096,15232,1619,0.23056016910765514,0.4853782581055308,0.3126215579895588
0.16735212664521035,19299146.66348882,822.1498962038349,16969,6505,1511,4994,15334,1635,0.23228285933897003,0.48029243483788936,0.3131281732462957
0.16873182394513664,19236670.496333838,819.488391255595,17087,6387,1491,4896,15432,1655,0.2334429309534993,0.47393515575333756,0.31280814014476027
0.1702226239533748,19221884.349419944,818.8584966098639,17205,6269,1465,4804,15524,1681,0.2336895836656564,0.46567069294342023,0.3112055231014339
0.17155312010448046,19151459.845558114,815.8583899445392,17323,6151,1446,4705,15623,1700,0.2350837262233783,0.459631277813096,0.3110680864795095
0.17293100301165482,19059066.96633245,811.9224233761801,17440,6034,1430,4604,15724,1716,0.23699038780245277,0.45454545454545453,0.31154684095860563
0.17449720061494045,19028384.146004856,810.6153252962791,17558,5916,1406,4510,15818,1740,0.2376605814739689,0.4469167196439924,0.3103067755462371
0.17599209726210652,18997701.325677264,809.3082272163783,17676,5798,1382,4416,15912,1764,0.23835805450155226,0.4392879847425302,0.3090339892665474
0.17731951094904067,18974966.84205652,808.3397308535623,17794,5680,1357,4323,16005,1789,0.23890845070422534,0.43134138588684046,0.30750056650804436
0.17887917588261987,18896594.001487844,805.001022471153,17912,5562,1339,4223,16105,1807,0.24074074074074073,0.4256198347107438,0.3075333027101516
0.18048547340345414,18865911.18116025,803.6939243912519,18030,5444,1315,4129,16199,1831,0.24155033063923587,0.4179910998092816,0.3061699650756694
0.1820470149194669,18813259.985468827,801.4509664083167,18147,5327,1294,4033,16295,1852,0.24291345973343345,0.4113159567705022,0.30544081199103035
0.18364065092682916,18766680.49172754,799.4666648942464,18265,5209,1272,3937,16391,1874,0.2441927433288539,0.4043229497774952,0.3044883303411131
0.18529285784747657,18704204.324572556,796.8051599460065,18383,5091,1252,3839,16489,1894,0.24592417992535848,0.3979656706929434,0.3039941726356683
0.18672298248228203,18625831.48400388,793.4664515635972,18501,4973,1234,3739,16589,1912,0.24813995576111,0.3922441195168468,0.3039783224535041
0.18838545577543758,18618993.673796833,793.1751586349507,18619,4855,1207,3648,16680,1939,0.2486096807415036,0.38366179275270185,0.3017122859642545
0.19017240315192602,18596259.190176085,792.2066622721345,18737,4737,1182,3555,16773,1964,0.24952501583280556,0.3757151938970121,0.2998858302676646
0.1919887010998722,18599246.351432595,792.3339163087925,18854,4620,1154,3466,16862,1992,0.24978354978354977,0.3668150031786395,0.2971928920937419
0.1937758895861563,18648046.898173478,794.4128353997392,18972,4502,1120,3382,16946,2026,0.24877832074633496,0.35600762873490144,0.2928870292887029
0.19558704258794526,18633260.75125958,793.7829407540079,19090,4384,1094,3290,17038,2052,0.24954379562043796,0.3477431659249841,0.2905710491367862
0.19743687233683518,18650267.95117307,794.5074529766155,19208,4266,1064,3202,17126,2082,0.24941397093295828,0.3382072472981564,0.28710199676200754
0.1992688430885761,18611636.794138633,792.8617531796299,19326,4148,1041,3107,17221,2105,0.2509643201542912,0.3308963763509218,0.2854400877433507
0.2010807268487072,18580953.973811038,791.554655099729,19444,4030,1017,3013,17315,2129,0.2523573200992556,0.32326764144945963,0.28344481605351174
0.2032656708598132,18599837.808481243,792.3591125705565,19561,3913,987,2926,17402,2159,0.2522361359570662,0.3137317228226319,0.27964300892477684
0.20541382244128,18561206.651446804,790.7134127735709,19679,3795,964,2831,17497,2182,0.25401844532279316,0.3064208518753973,0.2777697738078087
0.20759974208212206,18538472.167826056,789.7449164107547,19797,3677,939,2738,17590,2207,0.25537122654337774,0.2984742530197076,0.27524549318481606
0.20988031022388268,18507789.347498465,788.4378183308539,19915,3559,915,2644,17684,2231,0.25709468951952796,0.2908455181182454,0.272930648769575
0.21203412705580216,18516848.21070511,788.8237288363767,20033,3441,886,2555,17773,2260,0.25748328974135426,0.28162746344564527,0.2690147259754061
0.2141983056890421,18454372.04355013,786.1622238881371,20151,3323,866,2457,17871,2280,0.26060788444176947,0.27527018436109346,0.2677384448910187
